"Gesamttitel","Jahr","Ist","Soll","Soll-Ist","IstDiff1","SollDiff1","IstDiff2","SollDiff2"
"140253356","2015",67022,54026.8,-12995.2,0.15,-0.01,0.24,0.08
"140253413","2015",708.5,660,-48.5,0.05,0.2,0.15,0.31
"140253503","2015",13.4,10,-3.4,0,-0.35,0.44,-3
"140253602","2015",0.5,1,0.5,0,0,0,0
"140253703","2015",0,0,0,0,-Inf,0,-Inf
"140263102","2015",581.6,600,18.4,0.17,-0.24,0.04,4.22
"140263206","2015",3289.5,3100,-189.5,-0.02,-0.08,0.07,0.35
"140268504","2015",155.3,260,104.7,-0.75,-0.08,-0.63,-0.35
"140271101","2015",0.5,1,0.5,0,0,0.25,-4
"140271131","2015",0,0,0,-Inf,0,0,0
"140281201","2015",0,0,0,0,0,0,0
"140281202","2015",0,0,0,0,0,0,0
"140281246","2015",6687.8,9136.7,2448.9,0.11,-0.01,-0.09,-0.1
"140291902","2015",0,0,0,-Inf,0,0,0
"140335601","2015",742.4,1000,257.6,0.06,0,-0.1,NA
"140335905","2015",2250,0,-2250,Inf,0,Inf,0
"140353306","2015",0,0,0,0,NA,NA,NA
"140363313","2015",0,1000,1000,0,-0.5,0,-0.5
"140368501","2015",2678.8,0,-2678.8,0.97,0,1.92,0
"140368502","2015",742.4,1000,257.6,0.06,0,-0.1,0
"140453401","2015",0.1,166.5,166.4,-740,0.22,-639,-0.03
"140453402","2015",0,20,20,0,-1.5,0,-1.5
"140453501","2015",73.5,35,-38.5,366.5,0,2.39,Inf
"140468502","2015",179.1,372,192.9,-0.12,0,-0.12,-0.05
"140551101","2015",11.4,20,8.6,-1.03,0.67,-0.72,0.67
"140551701","2015",225.6,200,-25.6,0.21,3,4.41,3
"140552501","2015",16.3,15,-1.3,-1.2,0.5,0.08,0
"140552701","2015",13.1,6.7,-6.4,-0.37,-1.69,0.27,-1.69
"140553301","2015",7412.8,7001,-411.8,0.97,1.66,27.42,34.01
"140553501","2015",0.3,5,4.7,-0.67,0,-0.33,0
"140581201","2015",15,641,626,-20.15,-5.51,-249.14,-2.81
"140211999","2014",15.4,20,4.6,-2.05,0,-1.78,Inf
"140212501","2014",62.2,20,-42.2,-7.71,-23,-6.6,-22.82
"140235902","2014",0,0,0,-Inf,0,-Inf,0
"140238101","2014",0,0,0,0,0,0,0
"140242703","2014",0,0,0,0,0,0,-Inf
"140251101","2014",1017.3,1450,432.7,-0.12,-0.03,-0.38,0.12
"140251102","2014",34.5,60,25.5,-0.16,0.09,-0.48,-0.72
"140251103","2014",0.4,15,14.6,Inf,-2.33,-26,-2.33
"140251143","2014",1739.5,1800,60.5,0.16,-0.11,0.05,-0.07
"140251144","2014",183.2,126.3,-56.9,0.14,0.59,1.39,Inf
"140251802","2014",13758.9,13482.9,-276,-0.04,-0.02,0.03,0.23
"140252537","2014",1127.9,1000,-127.9,0.21,0,0.33,-0.6
"140252699","2014",0,0,0,0,0,0,0
"140252706","2014",213,250,37,-0.04,0,-0.13,-0.24
"140253302","2014",180.4,2000,1819.6,Inf,Inf,Inf,NA
"140253303","2014",7938.9,9160,1221.1,0.06,0.25,-0.07,0.08
"140253304","2014",10070.4,11600,1529.6,-0.12,0.05,-0.14,-0.02
"140253356","2014",58491.3,54682.9,-3808.4,0.08,0.1,0.09,0.21
"140253413","2014",673,550,-123,0.09,0.09,0.3,-0.09
"140253503","2014",13.4,13.5,0.0999999999999996,0.44,-1.96,-0.66,-20.36
"140253602","2014",0.5,1,0.5,0,0,0,0
"140253703","2014",0,35,35,0,0,0,Inf
"140263102","2014",496.4,745.3,248.9,-0.13,5.48,1.09,3.01
"140263206","2014",3363.5,3340.5,-23,0.1,0.45,0.34,0.27
"140268504","2014",271,279.8,8.80000000000001,0.07,-0.25,0.05,-1.11
"140271101","2014",0.5,1,0.5,0.25,-4,4,-43
"140271131","2014",16,0,-16,Inf,0,-17.26,-Inf
"140281201","2014",0,0,0,0,0,0,NA
"140281202","2014",0,0,0,0,0,0,0
"140281246","2014",6038.7,9240.1,3201.4,-0.21,-0.09,-0.22,-0.41
"140291902","2014",3830.3,0,-3830.3,Inf,0,0.92,0
"140335601","2014",701.6,1000,298.4,-0.16,NA,NA,NA
"140335905","2014",0,0,0,0,0,-Inf,0
"140353306","2014",0,NA,NA,NA,NA,NA,NA
"140363313","2014",0,1500,1500,0,0,0,-0.33
"140368501","2014",1359.6,0,-1359.6,0.48,0,4.04,0
"140368502","2014",701.6,1000,298.4,-0.16,0,Inf,0
